game name, directory, embed, working
cookie clicker,games/cookie-clicker.html, https://lablockedgames.com/funblocked/cookie-clicker/index.html, yes
retro bowl,games/retro-bowl.html, https://lablockedgames.com/funblocked/retro-bowl/index.html, yes
drift hunters,games/drift-hunters.html, https://lablockedgames.com/funblocked/drift-hunters/index.html, yes
slope, games/slope.html, https://lablockedgames.com/funblocked/slope/index.html ,yes
geometry dash, games/goemetry-dash.html, https://scratch.mit.edu/projects/105500895/embed, yes
vex 5, games/vex-5.html, https://lablockedgames.com//funblocked/vex-5/index.html, yes
monkey mart, games/monkey-mart.html, https://monkeymart.gitlab.io/file/, yes 
subway surfers, games/subway-surfers.html, https://ubg77.github.io/updatefaqs/subway-surfers-venice/, yes
moto x3m, games/moto-x3m.html, https://lablockedgames.com/funblocked/moto-x3m/index.html, yes
city car stunt 2, games/city-car-stunt-2.html, https://lablockedgames.com/funblocked/city-car-stunt-2/index.html, yes
velvet palace casino, games/casino.html, https://frenchhelp.github.io/Velvetpalace/, yes
tetris, games/tetris.html, https://djblue.github.io/tetris/, yes
minecraft classic, games/minecraft-classic.html, yes
tunnel rush, games/tunnel-rush.html, https://bestgradex.com/games/tunnel-rush/index.html, yes
snow rider, games/snow-rider.html, https://lablockedgames.com/funblocked/snow-rider-3d/index.html, yes